,Unnamed: 0,date,open,high,low,close,volume,adj close,dates,SMA_close,EMA_close,SMA_high,EMA_high,SMA_low,EMA_low,SMA_open,EMA_open,color,CRUP,CRDOWN,cancel
413,413,2012-02-16,33.5,34.509998,32.540001000000004,34.18,2219700,34.18,2012-02-16,32.45624975,32.54540771380346,32.96874987500001,33.07506051568745,31.31125025,31.320864427120796,32.193749249999996,32.11459181955676,green,,,
414,414,2012-02-17,33.990002000000004,34.970001,33.5,34.970001,1376700,34.970001,2012-02-17,32.877499875000005,33.08420622184714,33.365000125,33.496158401090234,31.64625025,31.80511677664951,32.467499625,32.53134963743303,green,,,
415,415,2012-02-21,34.869999,34.869999,33.810001,34.5,1135800,34.5,2012-02-21,33.198749875000004,33.39882706143666,33.72250025,33.80145631195907,31.96125025,32.25064660406073,32.8762495,33.05104949578125,green,,,
416,416,2012-02-22,34.5,34.720001,32.5,34.220001,1654600,34.220001,2012-02-22,33.40374975,33.581310158895185,33.950000125,34.00557735374595,32.09500025,32.30605846982501,33.1887495,33.37303849671875,green,,,
417,417,2012-02-23,33.990002000000004,34.970001,33.560001,34.529999,820400,34.529999,2012-02-23,33.832499625,33.79212990136292,34.28750025,34.219893719580185,32.560000375,32.584712365419456,33.405,33.51014149744792,green,,,
418,418,2012-02-24,34.23,34.52,33.27,33.75,959900,33.75,2012-02-24,34.114999624999996,33.782767701060045,34.595000125,34.28658400411792,32.856250375,32.73699850643735,33.740000125,33.6701100535706,orange,,,
419,419,2012-02-27,33.41,34.0,33.0,33.619999,606000,33.619999,2012-02-27,34.17124975,33.746596878602254,34.62125,34.222898669869494,33.056250375000005,32.79544328278461,33.948750125000004,33.6123078194438,,,True,
420,420,2012-02-28,33.639999,34.439999,33.169998,33.810001,612200,33.810001,2012-02-28,34.197500125000005,33.76068668335731,34.624999875,34.27114318767627,33.168750125,32.87867766438803,34.01625025,33.61846141512296,,,,
421,421,2012-02-29,33.810001,34.119999,33.139999,33.41,535700,33.41,2012-02-29,34.101250125,33.682756309277906,34.57625,34.23755559041488,33.243749875,32.9367490723018,34.055000375,33.66102576731786,,,,
422,422,2012-03-01,33.509998,34.5,33.310001,34.41,703500,34.41,2012-03-01,34.03125,33.84436601832726,34.517499875,34.29587657032268,33.22,33.01969394512362,33.994999875,33.62746404124722,green,,,
423,423,2012-03-02,34.400002,34.5,33.709999,34.040001000000004,550000,34.040001000000004,2012-03-02,33.973750125,33.88784045869898,34.47125,34.3412373324732,33.20749975,33.17309506842948,33.93625025,33.799139143192285,orange,,,
424,424,2012-03-05,34.349998,34.400002,33.459999,33.77,467000,33.77,2012-03-05,33.9175,33.86165369009921,34.431250125000005,34.354296147479154,33.327499625,33.236851497667374,33.9175,33.92155222248289,,,True,
