,date,low,high,open,close,volume
173,2017-07-08,43.1534,51.67659998,45.59000001,51.0,7158680.35036979
174,2017-07-09,47.79989998,52.12271204,51.0,47.92872291,5493275.66151914
175,2017-07-10,42.00012345,49.43927114,48.0002,44.18000003,8524481.05428018
176,2017-07-11,39.95000001,46.2370194,44.2640569,43.46,11379719.4089064
177,2017-07-12,41.2,48.08799999,43.45,46.85500009,10668762.093231998
178,2017-07-13,43.54,47.43499999,46.85500009,45.20940003,4588614.0542879505
179,2017-07-14,39.50000001,45.79682895,45.20940003,42.44699999,6750072.77744579
180,2017-07-15,37.6,42.62,42.44699999,38.310193,7949898.89191421
181,2017-07-16,36.0,42.78158001,38.310193,41.2006,8336363.2095875405
182,2017-07-17,39.55,43.0,41.20059999,42.29999999,10800687.7781188
183,2017-07-18,40.71000001,44.9799,42.28999999,43.3021,8713132.97992472
184,2017-07-19,39.21,44.25193799,43.4211,39.99469983,6517310.43364501
185,2017-07-20,39.92409778,46.1,39.99469999,44.87570267,10811451.36066759
186,2017-07-21,44.13000001,47.98899999,44.68941059,45.48999999,7447079.302893151
187,2017-07-22,45.14,47.75,45.48999997,46.9488258,3346465.48708635
188,2017-07-23,43.7,47.30119999,47.05446288,45.10449505,3571048.77685007
189,2017-07-24,44.1,45.72999,45.19247008,45.088,2502186.74464413
190,2017-07-25,40.09587653,45.404857,45.088,42.11000033,6170127.49358806
191,2017-07-26,40.14,42.94844353,42.11000001,42.10408669,3304932.17676881
192,2017-07-27,40.45901402,42.3,41.964036,41.8,3575302.60265949
193,2017-07-28,38.31,42.2,41.8,39.64000003,3750332.0781597695
194,2017-07-29,38.06,41.956,39.64,41.00000001,2527378.4898434803
195,2017-07-30,39.6,42.0,41.098,40.01000315,1762269.6086794604
196,2017-07-31,38.07,43.61799997,40.29999922,42.20490284,6442517.0449758405
197,2017-08-01,40.16012345,44.49,42.10405999,43.25851735,7088545.88683553
198,2017-08-02,41.41616395,43.25851734,43.2,41.83057814,2579637.0628340603
199,2017-08-03,41.76720765,43.0,41.8305781,42.55000012,1213651.1682896398
200,2017-08-04,42.31079096,43.56599998,42.55000012,43.08841312,2102288.14319151
201,2017-08-05,42.92054455,47.01,43.02128681,46.1656,4984786.502432729
202,2017-08-06,45.0,46.8973395,46.16560001,45.44006149,2634185.18778892
203,2017-08-07,45.2000002,46.88000009,45.43999999,45.94307549,2082512.79249903
204,2017-08-08,45.59924448,49.7635,45.9430755,48.87,3582064.28006179
205,2017-08-09,46.70111052,50.3495433,48.99998999,47.5310342,3989524.4333860804
206,2017-08-10,46.68404076,48.65,47.5310342,46.7685,1854843.14116343
207,2017-08-11,46.101,47.47209987,46.76849999,46.92434999,1231757.59509584
208,2017-08-12,45.7,47.69999994,46.89999999,45.95,2376295.06367575
209,2017-08-13,43.58998488,47.50213228,46.08,45.11167869,2824533.2834870806
210,2017-08-14,44.88,46.25439998,45.11167869,45.40199859,1185275.67626196
211,2017-08-15,41.19,45.59269999,45.40199832,42.79389674,2442238.75928244
212,2017-08-16,41.9840479,44.88871425,43.02105868,43.85936299,1782240.6244828901
213,2017-08-17,43.001,44.66517705,43.85558976,43.62884371,1249265.68234615
214,2017-08-18,43.0,47.90419998,43.62884371,46.48985001,3665227.5263355896
215,2017-08-19,42.6,46.79999997,46.79999997,44.91432435,2325845.57758216
216,2017-08-20,43.89,47.3,44.91432436,45.89999986,1367425.10378754
217,2017-08-21,45.0,48.87299999,45.89999975,48.03097969,3178369.0480216104
218,2017-08-22,44.49,48.04299044,48.04298833,46.14773298,2698678.90308433
219,2017-08-23,46.0,60.0,46.00003405,54.0951,9974658.41322479
220,2017-08-24,49.6,54.15937985,54.1052,49.79998767,6305336.31047635
221,2017-08-25,49.10629863,52.34,49.70059204,50.78003706,2464617.9375707097
222,2017-08-26,49.9,52.47190697,50.78003706,51.69199932,2390892.64577166
223,2017-08-27,51.41,64.34842479,51.47557331,60.40249999,13808871.6451025
224,2017-08-28,58.2,64.87267207,60.40249999,62.1510003,7522156.72907538
225,2017-08-29,60.5,63.95,62.15100047,63.62626007,3708439.7322134
226,2017-08-30,61.0,66.1,63.62626007,65.45012895,2904000.5638614898
227,2017-08-31,64.5988642,74.4193281,65.45012895,72.82099999,9416905.20260741
228,2017-09-01,71.000012,89.90546009,72.64,87.3329999,23251021.967858
229,2017-09-02,71.11,93.66899998,87.167,77.8,26069374.963781
230,2017-09-03,72.66,84.0,77.99999998,78.905,12787675.195274599
231,2017-09-04,61.01,78.905,78.72,66.71000006,18917345.94745623
232,2017-09-05,60.70001467,74.46999996,66.99999994,73.42999987,16437506.173885802
233,2017-09-06,73.0,82.0,73.1,81.25,13136096.3547615
234,2017-09-07,75.1,83.11359749,81.14999999,80.13295577,7649360.06519264
235,2017-09-08,66.62136379,82.2,80.13295577,73.33299996,17195338.18765179
236,2017-09-09,68.599997,73.45999999,73.19999996,70.96,5660259.63803975
237,2017-09-10,62.3,70.96,70.96,67.2251511,9133086.316245269
238,2017-09-11,65.409999,71.645,67.2251511,68.0,5218051.498145731
